"salary"
2930
6122
3301
979
4926
2328
82
6879
672
350
1812
158
5105
4945
170
3914
2042
1966
1020
4899
1575
2714
1451
686
1403
3429
7034
3485
3721
3215
5755
2087
160
276
3208
2855
1055
2648
4901
1377
108
6167
3005
472
2253
408
3127
386
392
1948
5579
1716
1366
981
1927
1076
7786
5775
13020
4540
323
5663
817
1415
667
3127
1348
792
312
1243
6743
6341
5103
1457
16
31
1988
3369
5780
4609
1674
10872
1735
4559
2980
1556
3412
929
553
3255
2014
3901
1855
10040
6424
159
2144
3287
1503
1614
6950
4553
3177
1202
1411
338
1804
3103
640
5384
4162
7415
891
339
804
1621
1750
7409
3689
1759
4430
3114
866
2135
12640
1573
218
8941
2774
1826
160
2666
8757
696
6522
137
4394
4949
992
3623
9344
2543
6122
4021
2516
4150
14092
2033
5775
3876
1055
13867
10741
1852
632
1922
296
1588
4251
1640
6106
3769
2511
116
3882
1467
3222
3916
2709
804
2163
2328
123
10954
2735
3237
3317
1704
1699
3714
1468
34
1534
4155
1922
5668
6610
1739
375
1113
1051
842
4764
35
467
2022
2304
4981
823
2228
1131
9506
1205
2870
1968
4843
1890
5958
2552
243
3467
2114
12970
1294
801
5779
152
4894
12275
5833
2940
143
1638
2213
8764
6935
6466
1790
1644
3291
810
4131
1375
46
3046
5668
1820
171
5224
5626
1670
3835
1366
2900
2007
247
3129
44
1094
322
136
7417
4213
2480
878
6790
1751
297
3856
2498
6803
818
10774
1256
1466
1117
2700
2824
23980
2092
2070
9288
1648
8314
795
3443
1651
3417
299
9901
3804
1632
2049
2895
2038
1916
136
1880
454
1566
1540
2066
3921
304
3609
4267
489
6635
6579
4336
1912
1089
4840
2064
5960
1953
770
2390
1874
86
3200
7693
322
3274
2600
498
618
11367
985
916
4212
1251
2099
1385
5472
10731
4730
667
507
2489
1984
1891
1324
688
185
7348
260
2324
6944
6698
7301
3155
823
1094
181
189
2630
3464
1631
4683
7490
948
1696
4727
2036
2044
2304
868
655
11080
2047
2366
2228
1857
848
3393
4155
1176
2332
934
3338
1706
396
4710
3510
17013
3065
377
3199
2592
2167
3999
1549
6983
3618
5975
252
1005
6796
2602
4782
1313
3430
795
2416
585
957
1146
1310
1945
911
2731
6918
1069
3950
949
308
3130
207
4651
1853
1295
5908
3696
166
1425
5063
2184
5723
1083
1213
414
4642
4371
713
1974
3388
7830
3524
2064
9167
6400
2322
1643
1297
2368
3280
1151
1408
1891
445
1193
4718
2638
3540
1504
7211
5476
4251
2735
1622
593
789
7225
9162
1253
6337
4559
3447
1538
1991
156
1430
2742
1514
2259
79
6974
9683
57
1121
2459
2332
782
3766
3792
2006
2488
7741
879
3221
8375
6000
6741
284
1039
651
2283
528
36
18
2828
3626
4301
1955
262
404
6366
1570
2759
3337
3379
314
799
2233
3007
1321
1698
6009
4488
4376
242
3703
5812
3753
1914
454
9313
566
1924
126
401
812
3374
124
2888
2606
15962
2774
1207
2044
2886
5609
2270
459
890
1769
1998
6637
989
268
1291
395
4381
1780
1890
688
4173
8683
1365
1328
4070
1417
4507
4807
845
5968
4056
1703
3580
3789
1945
1106
4043
3009
2798
1791
9386
3258
1754
748
793
331
3276
28
299
6836
4023
4240
11152
335
4844
1751
783
5006
2526
15
5267
1380
7074
9772
1392
2915
980
1571
1664
2820
5528
2420
961
3006
1784
7718
164
3924
2892
1654
652
3103
1988
554
8939
3474
986
2380
2325
1263
9303
1789
1131
1870
756
1545
1335
5040
1664
4474
8116
7151
7308
4905
592
1096
2029
5952
2473
995
2611
2007
239
2796
6171
1811
3361
2856
369
855
2838
1925
911
7126
1868
4077
187
984
5397
1630
8786
305
155
2115
1242
1487
3052
1270
861
1010
514
5238
2867
1186
5294
6567
6013
6899
6756
8395
1929
7602
2784
0
94
356
2789
2833
3639
20935
4363
2751
4101
5261
3776
63
9149
589
5083
300
1354
4735
4434
4171
6696
3280
804
5226
3578
72
2287
1113
1776
137
10996
8097
4512
2025
1507
1282
288
6937
750
3548
3463
319
1580
5059
1113
3145
1457
3301
3209
4341
1042
1760
24
3046
3883
7488
5499
2214
1185
222
2473
2516
1077
3185
1243
2933
3020
1992
9808
224
2159
7410
156
274
1728
5640
5818
14916
4332
1779
1371
2818
3036
861
4563
4410
1486
2487
758
3181
2644
3665
3055
3411
1556
806
2605
5362
1323
18378
758
7537
4956
542
4649
143
288
601
2899
200
3572
1072
2384
5314
2331
6034
5709
2381
6011
1008
2842
2877
1853
2905
3930
178
322
343
1172
64
916
3553
3767
269
291
1757
3660
216
5673
2049
2553
4857
2082
3998
405
201
385
2838
7044
2338
2449
2460
27985
6634
822
5701
3901
2956
2651
1440
6198
4640
649
1979
3275
5034
1420
1781
6004
4459
1943
2653
321
2215
1435
3160
4494
2885
4872
3763
118
933
919
2407
6003
703
5315
1351
10045
7233
1255
207
5114
1780
2635
4241
292
1840
1480
3201
1119
384
1748
2433
3135
7661
2898
3097
1628
3096
1841
3178
3719
7714
1750
1021
1516
3563
4675
1313
1167
1294
2241
2390
401
4023
1667
3047
1961
4948
5131
16583
2187
2351
1252
1769
13024
1249
2333
1286
1143
320
5667
4013
1763
320
576
2589
2141
1813
1102
1084
1661
9326
2562
1685
1765
2073
2421
1035
4713
2541
1111
3706
1778
4310
3509
55
3793
4409
3275
674
1925
2240
1336
6053
587
1798
3844
642
1576
3804
2627
3569
3212
1266
3630
1322
1272
6270
1891
2626
13816
731
2660
1643
6084
1598
3094
3897
7714
10518
3589
725
1491
1579
3920
3468
1281
577
822
1502
7179
2063
3784
3074
30
251
16993
4168
8130
1111
182
1452
226
1501
1404
1002
1697
1432
1894
829
2600
6370
6217
45
1393
3124
5269
4651
1546
9600
269
4350
9
6306
5992
1330
130
1001
1775
1421
12854
107
2825
8254
2284
13229
2985
679
1919
521
7860
2725
4144
4618
1342
3081
3825
4830
1638
3479
1987
1287
7998
5867
1158
5400
7996
3075
5610
6643
6162
3699
2586
1954
433
1131
2204
33901
3882
3222
4873
1194
3606
1312
139
6084
6528
1258
4347
5050
3543
3492
3401
2018
1629
2601
400
2046
1188
2064
83
1585
7909
20
22522
1646
3383
2176
1659
5188
253
1031
4064
2361
4134
48
1605
5689
3754
1962
1631
8
2963
1505
751
4765
1195
6934
955
2394
4868
1637
1989
1277
654
1564
3720
2609
72
2613
729
528
2336
202
2435
1412
2534
13181
3206
1193
961
550
1707
4249
3878
6706
606
